signal,transition,old_setpoint,new_setpoint,direction,T0,Tinf_from_steady_fit,tau_s,rmse_C,n_points
T1,1,35.0,45.0,heating,35.7,48.52215995440731,16.500398364963715,1.704905068370866,31
T1,2,45.0,55.0,heating,45.0,57.59627976190477,15.575024095379469,1.5557097164277367,31
T1,3,55.0,65.0,heating,54.0,66.67039956940224,14.740975483480545,1.4061047560707545,31
T1,4,65.0,75.0,heating,63.9,75.7445193768997,13.879628968391359,1.4268270906716745,31
T1,5,75.0,85.0,heating,73.1,84.81863918439716,12.914135892837681,1.4734454268435748,31
T1,6,85.0,95.0,heating,82.4,93.89275899189462,12.821038340932818,1.2405482432993493,31
T1,7,95.0,75.0,cooling,90.9,75.7445193768997,23.841874771065854,1.6809098732813692,31
T1,8,75.0,65.0,cooling,81.8,66.67039956940224,22.51494075484542,1.65272706809037,31
T1,9,65.0,55.0,cooling,72.4,57.59627976190477,22.038822049677613,1.538353418241445,31
T1,10,55.0,45.0,cooling,62.9,48.52215995440731,21.24453656844796,1.429408132038972,31
T1,11,45.0,35.0,cooling,53.2,39.44804014690984,20.92463741748779,1.3399708545801974,31
T1,12,35.0,32.0,cooling,44.1,36.725804204660605,4.581083210249552,0.8418508649200315,31
T2,1,35.0,45.0,heating,35.4,48.91931041033436,19.697164015832637,0.9180707417523029,31
T2,2,45.0,55.0,heating,44.7,58.14806547619048,19.37765433993921,0.8280682421076525,31
T2,3,55.0,65.0,heating,54.2,67.3768205420466,19.456482630754593,0.761454262680017,31
T2,4,65.0,75.0,heating,63.8,76.60557560790274,17.080433840498635,0.7436520729815165,31
T2,5,75.0,85.0,heating,73.5,85.83433067375886,15.265973716848869,0.8826437221091179,31
T2,6,85.0,95.0,heating,83.0,95.06308573961499,13.149658594271068,0.7349712657029918,31
T2,7,95.0,75.0,cooling,92.7,76.60557560790274,23.616330737054582,1.3734020035374725,31
T2,8,75.0,65.0,cooling,83.2,67.3768205420466,23.291548966210463,1.194130138655586,31
T2,9,65.0,55.0,cooling,73.7,58.14806547619048,22.725840157849863,1.2269162483482574,31
T2,10,55.0,45.0,cooling,63.9,48.91931041033436,22.002121051682686,1.1222925339638825,31
T2,11,45.0,35.0,cooling,54.2,39.690555344478234,20.753717724061584,1.0725748713597572,31
T2,12,35.0,32.0,cooling,44.7,36.92192882472139,5.725692579709394,1.109861587903725,31
Mean,1,35.0,45.0,heating,35.55,48.72073518237084,18.149098281137185,1.2698873138362878,31
Mean,2,45.0,55.0,heating,44.85,57.87217261904763,17.535542825542752,1.1554751559504388,31
Mean,3,55.0,65.0,heating,54.1,67.02361005572442,17.114204032062066,1.0284366404910326,31
Mean,4,65.0,75.0,heating,63.849999999999994,76.17504749240123,15.56664187659295,1.0439570147966726,31
Mean,5,75.0,85.0,heating,73.3,85.32648492907802,14.148378117954737,1.156892155915591,31
Mean,6,85.0,95.0,heating,82.7,94.47792236575481,12.997691025645016,0.9464429028282468,31
Mean,7,95.0,75.0,cooling,91.80000000000001,76.17504749240123,23.724149335848292,1.5042379855987933,31
Mean,8,75.0,65.0,cooling,82.5,67.02361005572442,22.915294346740605,1.3984123056629911,31
Mean,9,65.0,55.0,cooling,73.05000000000001,57.87217261904763,22.392783486560617,1.3641603327672922,31
Mean,10,55.0,45.0,cooling,63.4,48.72073518237084,21.63312919958445,1.2489184235977002,31
Mean,11,45.0,35.0,cooling,53.7,39.56929774569404,20.83546373421532,1.1901673597455624,31
Mean,12,35.0,32.0,cooling,44.400000000000006,36.823866514691005,5.177907040003733,0.9613262803398124,31
