signal,segment,setpoint,steady_temp,steady_slope_C_per_s,accepted,start_index,end_index
T1,0,35.0,35.1,0.007067669172932122,True,0,78
T1,1,45.0,44.5,0.019548872180450788,True,78,146
T1,2,55.0,54.0,-2.0580794900518256e-15,True,146,210
T1,3,65.0,63.4,0.015413533834585118,True,210,267
T1,4,75.0,72.8,0.011729323308269266,True,267,330
T1,5,85.0,82.1,0.010300751879697366,True,330,396
T1,6,95.0,91.5,-0.013684210526315972,True,396,499
T1,7,75.0,82.1,-0.004285714285716628,True,499,566
T1,8,65.0,72.6,-0.0033834586466196265,True,566,654
T1,9,55.0,63.1,-0.002857142857143629,True,654,765
T1,10,45.0,53.7,-0.008421052631579213,True,765,884
T1,11,35.0,44.3,-0.002857142857143872,True,884,976
T1,12,32.0,32.2,-0.007443609022556622,True,976,1142
T2,0,35.0,35.3,0.0014285714285706718,True,0,78
T2,1,45.0,44.7,0.004812030075187258,True,78,146
T2,2,55.0,54.1,0.007443609022555007,True,146,210
T2,3,65.0,63.6,0.015488721804510152,True,210,267
T2,4,75.0,73.3,-0.003984962406018157,True,267,330
T2,5,85.0,83.0,-3.88148467156846e-15,True,330,396
T2,6,95.0,92.9,-0.008947368421054676,True,396,499
T2,7,75.0,83.3,-0.0014285714285719264,True,499,566
T2,8,65.0,73.6,-0.003383458646619151,True,566,654
T2,9,55.0,64.0,-0.004812030075188263,True,654,765
T2,10,45.0,54.4,-0.00413533834586485,True,765,884
T2,11,35.0,44.8,0.001203007518797181,True,884,976
T2,12,32.0,32.3,-0.007443609022557429,True,976,1142
Mean,0,35.0,35.2,0.0042481203007507665,True,0,78
Mean,1,45.0,44.6,0.01218045112781908,True,78,146
Mean,2,55.0,54.05,0.0037218045112767852,True,146,210
Mean,3,65.0,63.5,0.015451127819546037,True,210,267
Mean,4,75.0,73.05,0.0038721804511268314,True,267,330
Mean,5,85.0,82.55,0.005150375939846694,True,330,396
Mean,6,95.0,92.2,-0.011315789473686753,True,396,499
Mean,7,75.0,82.69999999999999,-0.0028571428571448,True,499,566
Mean,8,65.0,73.1,-0.0033834586466180427,True,566,654
Mean,9,55.0,63.55,-0.0038345864661659458,True,654,765
Mean,10,45.0,54.05,-0.0062781954887226035,True,765,884
Mean,11,35.0,44.55,-0.0008270676691732617,True,884,976
Mean,12,32.0,32.25,-0.007443609022556882,True,976,1142
