time_s,setpoint,T1_measured,T2_measured,Tmean_measured,T1_equilibrium_from_steady,T2_equilibrium_from_steady,Tmean_equilibrium_from_steady,T1_dynamic_fit,T2_dynamic_fit,Tmean_dynamic_fit,Tsurface_final_model_from_setpoint,Tmean_minus_final_model_C
0.0,35.0,34.8,34.8,34.8,39.44804014690984,39.690555344478234,39.56929774569404,34.8,34.8,34.8,34.8,0.0
1.0,35.0,34.8,34.9,34.849999999999994,39.44804014690984,39.690555344478234,39.56929774569404,35.05661958999533,35.04795124706358,35.051733080859584,35.051733080859584,-0.20173308085959007
2.0,35.0,34.9,34.9,34.9,39.44804014690984,39.690555344478234,39.56929774569404,35.299071141013385,35.283331361282336,35.29017918586276,35.29017918586276,-0.39017918586276323
3.0,35.0,34.9,34.9,34.9,39.44804014690984,39.690555344478234,39.56929774569404,35.52813687442887,35.506777699325674,35.516039628189375,35.516039628189375,-0.6160396281893767
4.0,35.0,34.9,35.0,34.95,39.44804014690984,39.690555344478234,39.56929774569404,35.74455582495669,35.71889530386798,35.729978704305935,35.729978704305935,-0.7799787043059325
5.0,35.0,34.9,35.0,34.95,39.44804014690984,39.690555344478234,39.56929774569404,35.949026224999514,35.92025854190879,35.932625647781855,35.932625647781855,-0.9826256477818518
6.0,35.0,34.9,35.0,34.95,39.44804014690984,39.690555344478234,39.56929774569404,36.142207757354726,36.11141266003004,36.12457647997933,36.12457647997933,-1.1745764799793292
7.0,35.0,35.0,35.0,35.0,39.44804014690984,39.690555344478234,39.56929774569404,36.324723683548896,36.292875260801836,36.30639576306012,36.30639576306012,-1.3063957630601166
8.0,35.0,35.0,35.1,35.05,39.44804014690984,39.690555344478234,39.56929774569404,36.49716285466626,36.46513770433432,36.47861826046508,36.47861826046508,-1.428618260465086
9.0,35.0,35.0,35.1,35.05,39.44804014690984,39.690555344478234,39.56929774569404,36.66008161115882,36.62866643877089,36.641750509750345,36.641750509750345,-1.591750509750348
10.0,35.0,35.0,35.1,35.05,39.44804014690984,39.690555344478234,39.56929774569404,36.81400557776743,36.78390426332541,36.796272312405975,36.796272312405975,-1.7462723124059778
11.0,35.0,35.0,35.1,35.05,39.44804014690984,39.690555344478234,39.56929774569404,36.9594313593447,36.931271527283336,36.942638145039055,36.942638145039055,-1.892638145039058
12.0,35.0,35.0,35.1,35.05,39.44804014690984,39.690555344478234,39.56929774569404,37.09682814305113,37.071167268213514,37.08127849607171,37.08127849607171,-2.031278496071714
13.0,35.0,35.0,35.1,35.05,39.44804014690984,39.690555344478234,39.56929774569404,37.226639212093524,37.20397029247263,37.21260113188552,37.21260113188552,-2.1626011318855234
14.0,35.0,35.0,35.1,35.05,39.44804014690984,39.690555344478234,39.56929774569404,37.349283375889485,37.33004020092803,37.33699229613627,37.33699229613627,-2.286992296136276
15.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,37.46515632127212,37.449718362676386,37.45481784576655,37.45481784576655,-2.304817845766543
16.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,37.57463188909436,37.5633288393948,37.56642432705721,37.56642432705721,-2.416424327057207
17.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,37.67806328035162,37.671179262827316,37.67213999488282,37.67213999488282,-2.5221399948828136
18.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,37.77578419571406,37.77356166778283,37.772275778168634,37.772275778168634,-2.6222757781686283
19.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,37.86810991214498,37.870753282899976,37.867126194388916,37.867126194388916,-2.7171261943889107
20.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,37.95533830007879,37.96301728132025,37.95697021579615,37.95697021579615,-2.8069702157961416
21.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.03775078444034,38.05060349330197,38.04207208992895,38.04207208992895,-2.892072089928945
22.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.11561325260605,38.13374908270472,38.12268211681197,38.12268211681197,-2.972682116811967
23.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.1891769122363,38.21267918917595,38.19903738513358,38.19903738513358,-3.0490373851335733
24.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.25867910174662,38.287607537778825,38.271362469566625,38.271362469566625,-3.12136246956662
25.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.324344056032594,38.35873701771182,38.33987009128324,38.33987009128324,-3.1898700912832325
26.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.386383629918804,38.426260231687245,38.404761743606315,38.404761743606315,-3.254761743606309
27.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.44499798166601,38.49036001745633,38.46622828463788,38.46622828463788,-3.316228284637873
28.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.50037621874171,38.55120994289291,38.52445049860732,38.52445049860732,-3.3744504986073167
29.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.55269700793746,38.60897477597638,38.57959962759057,38.57959962759057,-3.4295996275905622
30.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.60212915180158,38.663810930946504,38.63183787516403,38.63183787516403,-3.4818378751640253
31.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.64883213324668,38.71586689183818,38.6813188834747,38.6813188834747,-3.5313188834746967
32.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.69295663008941,38.76528361454299,38.72818818512954,38.72818818512954,-3.578188185129534
33.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.73464500118223,38.81219490848615,38.77258363123322,38.77258363123322,-3.622583631233212
34.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.77403174570572,38.856727798952555,38.8146357968332,38.8146357968332,-3.6646357968331955
35.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.81124393710329,38.89900287104278,38.85446836496459,38.85446836496459,-3.7044683649645833
36.0,35.0,35.1,35.2,35.150000000000006,39.44804014690984,39.690555344478234,39.56929774569404,38.84640163305817,38.939134596190556,38.89219849042435,38.89219849042435,-3.742198490424343
